Nombre,Marca,Tipo,ML,Precio,Stock,Descripcion,Familia Olfativa,Notas Salida,Notas Corazon,Notas Fondo
Club de Nuit Intense Man,Armaf,sealed,105,35000,5,El mejor clon de Creed Aventus,Ahumada,Limon,Abedul,Almizcle
Sauvage Elixir,Dior,decant,5,12000,20,La version mas potente de Sauvage,Especiada,Canela,Lavanda,Regaliz
Nautica Voyage,Nautica,sealed,100,20000,10,Frescura marina ideal para el dia a dia,Acuatica,Manzana,Loto,Almizcle
Eros Flame,Versace,sealed,100,65000,3,Aroma dulce y picante,Citrica,Chinotto,Pimienta,Vainilla
Bleu de Chanel EDP,Chanel,decant,5,15000,15,Elegancia pura en una botella,Amaderada,Pomelo,Jengibre,Sandalo
Acqua di Gio Profondo,Giorgio Armani,decant,5,11000,25,Profundidad marina refrescante,Marina,Bergamota,Romero,Pachuli
Stronger With You Intensely,Emporio Armani,sealed,100,85000,2,Dulce y acogedor,Oriental,Pimienta Rosa,Lavanda,Caramelo
Halloween Man X,Halloween,sealed,125,40000,8,Aroma a cafe tostado irresistible,Oriental,Cardamomo,Cafe,Cuero
9pm,Afnan,sealed,100,38000,6,Clon excelente de Ultra Male,Ambarada,Manzana,Lavanda,Vainilla
Khamrah,Lattafa,sealed,100,45000,4,Aroma a canela y datiles,Gourmet,Canela,Datiles,Ambar
